match_id,home,away,label,market_source,mkt_p_A,mkt_p_D,mkt_p_H,elo_oof_A,elo_oof_D,elo_oof_H,mkt64_oof_A,mkt64_oof_D,mkt64_oof_H,blendA_oof_A,blendA_oof_D,blendA_oof_H
32,Türkiye,Paraguay,A,polymarket,0.275,0.305,0.435,0.08997401082035131,0.36066750353543464,0.5493584856442142,0.27499999999999997,0.30500000000000005,0.43499999999999994,0.1354277443026472,0.347429217242,0.5171430384553528
33,Germany,Côte d'Ivoire,H,polymarket,0.175,0.205,0.625,0.027709805772471285,0.35315398425742145,0.6191362099701073,0.17500000000000002,0.20500000000000002,0.625,0.07257536599280157,0.33217455184346895,0.5952500821637294
34,Ecuador,Curaçao,D,polymarket,0.0695,0.125,0.805,0.008023394316693203,0.33378845977703353,0.6581881459062733,0.0695,0.125,0.8049999999999999,0.02855539763697671,0.29282820934095266,0.6786163930220707
35,Netherlands,Sweden,H,polymarket,0.175,0.235,0.595,0.04489750197659044,0.3508784493004442,0.6042240487229653,0.17500000000000002,0.23499999999999993,0.5949999999999999,0.08443834781011905,0.333115003735958,0.5824466484539229
36,Tunisia,Japan,A,polymarket,0.565,0.265,0.175,0.5134264459107498,0.20518700962399974,0.2813865444652503,0.5649999999999998,0.26500000000000007,0.17500000000000002,0.4699958748933577,0.22508577544219244,0.3049183496644499
37,Belgium,IR Iran,D,polymarket,0.105,0.195,0.695,0.06790635290357742,0.34756857646584993,0.5845250706305727,0.10500000000000001,0.19500000000000003,0.6950000000000001,0.06611887119599733,0.3150445752514281,0.6188365535525746
38,New Zealand,Egypt,A,polymarket,0.555,0.255,0.195,0.6192677791223204,0.16968275591575854,0.2110494649619211,0.5549999999999999,0.25499999999999995,0.19500000000000003,0.4695046444126585,0.22761002444211603,0.30288533114522564
39,Spain,Saudi Arabia,H,polymarket,0.0355,0.085,0.875,0.003034062146837531,0.32261946979384887,0.6743464680593136,0.03549999999999999,0.08499999999999999,0.875,0.01640844878342159,0.3001399374421498,0.6834516137744288
40,Uruguay,Cabo Verde,D,p_model,0.1329,0.2827,0.5844,0.009660524875315619,0.3356227988117281,0.6547166763129564,0.1329,0.28270000000000006,0.5844000000000001,0.050582813044698784,0.34761402617825227,0.6018031607770489
41,France,Iraq,H,polymarket,0.0375,0.095,0.865,0.0024725264291881803,0.3196972762595052,0.6778301973113066,0.03749999999999999,0.09499999999999999,0.865,0.014430011555554631,0.31719772058090384,0.6683722678635415
42,Norway,Senegal,H,polymarket,0.285,0.265,0.445,0.29844718276926235,0.30371872863256755,0.3978340885981701,0.28500000000000003,0.26500000000000007,0.445,0.19868356241666094,0.32384632768518123,0.4774701098981578
43,Argentina,Austria,H,polymarket,0.165,0.235,0.6,0.010399246947054902,0.34584024817074355,0.6437605048822016,0.165,0.23499999999999993,0.5999999999999999,0.056977000296682914,0.3506177363745186,0.5924052633287985
44,Jordan,Algeria,A,polymarket,0.655,0.205,0.135,0.46414287484596234,0.24298683192802328,0.2928702932260142,0.6550000000000001,0.20500000000000002,0.135,0.5353259009694542,0.20668970407295822,0.25798439495758746
45,Portugal,Uzbekistan,H,polymarket,0.075,0.145,0.785,0.007817638709150783,0.32379847256581157,0.6683838887250377,0.07499999999999998,0.145,0.785,0.030814324455633202,0.3145907991310429,0.654594876413324
46,Colombia,Congo DR,H,polymarket,0.115,0.225,0.665,0.010398554767425714,0.3329980084004235,0.6566034368321508,0.11500000000000002,0.22500000000000003,0.665,0.04390035695594513,0.3416749121608159,0.614424730883239
47,England,Ghana,D,polymarket,0.105,0.165,0.735,0.007233009741737984,0.2934664044455346,0.6993005858127275,0.10500000000000001,0.165,0.7350000000000001,0.036899352103003054,0.2920720302691979,0.6710286176277989
48,Panama,Croatia,A,polymarket,0.635,0.235,0.135,0.6953988196785363,0.14368082505622862,0.16092035526523504,0.6349999999999999,0.23499999999999993,0.135,0.5755204728837255,0.1993270280595517,0.2251524990567227
49,Czechia,Mexico,A,polymarket,0.525,0.275,0.215,0.30686306713744643,0.34045207667922445,0.35268485618332923,0.5250000000000001,0.27499999999999997,0.21500000000000002,0.3866088999232301,0.29104022230286375,0.32235087777390625
